active_count_interval,n_samples,mean_rel_err_pct,median_rel_err_pct,p95_rel_err_pct,max_rel_err_pct
101-159,38,2.9173191395800706,2.4126085876588528,7.335657347468831,9.29018895170001
160-279,75,2.9972974066783866,2.6331471306053036,7.5243145299729655,10.535423355122843
280-427,71,2.91597749273688,1.8273058247832947,8.329810240752426,9.63128255801166
428-848,278,2.42456152042045,2.0478764473611624,5.587082538301557,13.547645318918116
849-1267,274,2.1966377190728044,1.9314227431800375,4.857259061778936,7.2236129536737606
1268-1678,228,1.5251291321096163,1.1944981775650523,3.869341056387486,6.571105037145494
1679-2092,237,0.8567410005000236,0.6340802394334081,2.087213572376583,6.2786062560364595
2093-2500,242,0.41621319141263724,0.32542906983524106,1.086142654072101,1.8146110135785538
