active_count_interval,n_samples,exact_pct,one_bin_pct,two_plus_bins_pct
101-159,38,100.0,0.0,0.0
160-279,75,98.66666666666667,0.0,1.3333333333333335
280-427,71,76.05633802816901,0.0,23.943661971830984
428-848,278,70.86330935251799,20.863309352517987,8.273381294964029
849-1267,274,91.24087591240875,8.75912408759124,0.0
1268-1678,228,100.0,0.0,0.0
1679-2092,237,100.0,0.0,0.0
2093-2500,242,99.58677685950413,0.0,0.4132231404958678
