epoch,train_loss,val_loss,val_rmse,lr,train_sec,val_sec,train_samples_per_sec,val_samples_per_sec
1,0.09444536578868117,0.010366612429420153,0.10181656264783324,0.0003314168878377181,78.50112508004531,10.741418383084238,89.1706965073724,139.64636200766788
2,0.00811599420915757,0.005539588165779909,0.07442840966848552,0.0003314168878377181,31.827102120034397,5.146391714923084,219.93833977092336,291.4663482863971
3,0.005234523457075868,0.0045379122570157054,0.06736402791561462,0.0003314168878377181,46.091945733875036,6.531436909921467,151.87035150168083,229.6584994523105
4,0.004548027354159525,0.008219878119726977,0.0906635434986245,0.0003314168878377181,17.800560124684125,5.113044616300613,393.24605242579224,293.36728164231806
5,0.004813686744443008,0.003528170189509789,0.05939840224711258,0.0003314168878377181,44.47800398198888,3.2804221310652792,157.38116312131748,457.2582247251491
6,0.004195661323411124,0.0032698808399339516,0.057182871910511385,0.0003314168878377181,25.044114232994616,2.0357958748936653,279.5067908921203,736.812574629246
7,0.0034073819776198693,0.00343351894368728,0.05859623660003499,0.0003314168878377181,28.375816399697214,4.544991229195148,246.68893755862806,330.03364018936253
8,0.0034666998692389045,0.002670153181999922,0.05167352496201437,0.0003314168878377181,25.875289843883365,3.1434514787979424,270.5283705896235,477.18248877619095
9,0.002752212866076401,0.0025114264097064734,0.05011413383174924,0.0003314168878377181,28.956239082850516,3.606993656139821,241.74410150335396,415.8587851815879
10,0.002300396215303668,0.0019091273390998444,0.04369356175799639,0.0003314168878377181,23.569798093289137,2.096855267882347,296.99024031915917,715.356955234625
11,0.00218026141316763,0.0017385003979628285,0.04169532825105024,0.0003314168878377181,20.154917281121016,7.663363597821444,347.30978561528786,195.73650406284037
12,0.001962214108689555,0.0014631393728777766,0.03825100486102001,0.0003314168878377181,22.999857772141695,9.294154016766697,304.34970813074625,161.39177350558137
13,0.0018481360450387002,0.0015861698786417643,0.03982674828104554,0.0003314168878377181,33.53223972581327,2.377204845659435,208.75432292139342,630.9931610390527
14,0.001711124192125031,0.0019524386782820025,0.044186408298050234,0.0003314168878377181,20.06541679473594,5.392231758218259,348.85893832199963,278.1779543718353
15,0.0018679747001401016,0.00212449246738106,0.04609221699355608,0.0003314168878377181,32.30611581215635,2.946160715073347,216.67723971217845,509.13719415427624
16,0.0016593127574638597,0.0011792184809843698,0.03433975074144205,0.0003314168878377181,25.165517847053707,4.323813462629914,278.15839286691,346.915983532657
17,0.001412028619886509,0.0012163305828968684,0.0348759312835782,0.0003314168878377181,33.18435790389776,3.2839158652350307,210.9427586416489,456.77175103042555
18,0.001496311740816704,0.0011392134721390902,0.03375223655017679,0.0003314168878377181,33.10993533814326,3.4614632902666926,211.4169033708704,433.3427438672708
19,0.0014640845862616387,0.001096323418430984,0.03311077495968622,0.0003314168878377181,28.436410584952682,4.601781132165343,246.16327644755899,325.96074365974533
20,0.0014345503720188779,0.001154796345314632,0.03398229458577852,0.0003314168878377181,30.980518298689276,1.1511338679119945,225.94844710187292,1303.0630422861268
21,0.0015225282113200851,0.0010129669752592843,0.03182714211579928,0.0003314168878377181,25.991189436987042,2.509256654884666,269.3220337980598,597.7865983059214
22,0.0013658257120155862,0.0010414553048710027,0.03227158664941968,0.0003314168878377181,40.27127223694697,3.5458010216243565,173.82117850197525,423.03558232741426
23,0.0013983500422909856,0.000994895672891289,0.03154196685197816,0.0003314168878377181,37.29695954406634,3.57735049771145,187.68285902043849,419.30473431652837
24,0.0013026113248031054,0.0010778169188027582,0.03283012212591903,0.0003314168878377181,24.713363423012197,1.068817556835711,283.24756449305687,1403.420060240053
25,0.001277812505673085,0.0008836018106279273,0.029725440461462086,0.0003314168878377181,24.494323561899364,2.689666855148971,285.7804985841054,557.6898853211025
26,0.0012964873570017518,0.001044388881108413,0.03231700606659616,0.0003314168878377181,23.120038114022464,5.984587186016142,302.7676669682673,250.64385451764625
27,0.0011086148444696196,0.0009479192959455152,0.03078829803586933,0.0003314168878377181,34.46274804789573,6.23252696916461,203.11787064315132,240.67284544796053
