epoch,train_loss,val_loss,val_rmse
1,0.09444536579,0.01036661243,0.1018165626
2,0.008115994209,0.005539588166,0.07442840967
3,0.005234523457,0.004537912257,0.06736402792
4,0.004548027354,0.00821987812,0.0906635435
5,0.004813686744,0.00352817019,0.05939840225
6,0.004195661323,0.00326988084,0.05718287191
7,0.003407381978,0.003433518944,0.0585962366
8,0.003466699869,0.002670153182,0.05167352496
9,0.002752212866,0.00251142641,0.05011413383
10,0.002300396215,0.001909127339,0.04369356176
11,0.002180261413,0.001738500398,0.04169532825
12,0.001962214109,0.001463139373,0.03825100486
13,0.001848136045,0.001586169879,0.03982674828
14,0.001711124192,0.001952438678,0.0441864083
15,0.0018679747,0.002124492467,0.04609221699
16,0.001659312757,0.001179218481,0.03433975074
17,0.00141202862,0.001216330583,0.03487593128
18,0.001496311741,0.001139213472,0.03375223655
19,0.001464084586,0.001096323418,0.03311077496
20,0.001434550372,0.001154796345,0.03398229459
21,0.001522528211,0.001012966975,0.03182714212
22,0.001365825712,0.001041455305,0.03227158665
23,0.001398350042,0.0009948956729,0.03154196685
24,0.001302611325,0.001077816919,0.03283012213
25,0.001277812506,0.0008836018106,0.02972544046
26,0.001296487357,0.001044388881,0.03231700607
27,0.001108614844,0.0009479192959,0.03078829804
28,0.001384123313,0.0008904804528,0.0298409191
29,0.001129618294,0.0009771065048,0.03125870286
30,0.001112326895,0.001191655249,0.03452035992
31,0.001262088496,0.0008837514555,0.02972795747
32,0.001108701572,0.0009295778537,0.03048897922
33,0.001303605523,0.001009080443,0.03176602655
34,0.001062002633,0.0008460926533,0.02908767184
35,0.0009892305377,0.0009801905672,0.03130799526
36,0.001082426412,0.0008417128013,0.02901228707
37,0.001135128278,0.0007939839607,0.028177721
38,0.001032552656,0.0007816375534,0.02795778163
39,0.001000672224,0.0007506069692,0.02739720732
40,0.001049813845,0.000818958899,0.02861745794
41,0.001042658771,0.0009333421411,0.03055064878
42,0.001005510468,0.0007918837337,0.02814042881
43,0.001072289214,0.0009359471581,0.03059325347
44,0.0009748208009,0.0007769335401,0.02787352759
45,0.0009476906026,0.0009605418403,0.03099260945
46,0.001068221171,0.0007741224665,0.02782305638
47,0.0009287759963,0.000793489721,0.02816894959
48,0.001002761091,0.000752369485,0.02742935444
49,0.0009869648366,0.002202960268,0.04693570356
50,0.0008562065483,0.0006895445899,0.02625918106
51,0.0008162467888,0.0006873529218,0.02621741638
52,0.0008265424128,0.0006580468485,0.02565242383
53,0.0008383629243,0.000668875095,0.02586261965
54,0.0008342489083,0.0007439015807,0.02727455922
55,0.0008508182247,0.0007703899549,0.02775589946
56,0.000828472138,0.0006700669653,0.02588565173
57,0.00080588309,0.000679382662,0.02606497002
58,0.0008307263156,0.0006640005107,0.02576820736
59,0.0008152964001,0.000685407634,0.02618029095
60,0.0008352111364,0.0006386083163,0.02527070075
61,0.0008191220759,0.0006362930463,0.02522484978
62,0.0007979793559,0.0006569555815,0.02563114476
63,0.0008317213964,0.0007421764823,0.02724291619
64,0.0008354046095,0.0006480973081,0.02545775536
65,0.0008494993017,0.0007419365491,0.02723851224
66,0.0007737618968,0.0006520270054,0.02553481947
67,0.0008100867586,0.0007040888079,0.02653467181
68,0.0008182153728,0.0007327965349,0.0270702149
69,0.0008164748485,0.0006241829727,0.02498365411
70,0.0008104777584,0.0006419118467,0.02533597929
71,0.000781679643,0.000660920107,0.02570836648
72,0.0008051021181,0.0006271841455,0.02504364481
73,0.0007820958135,0.0006863245309,0.0261977963
74,0.000794489047,0.0006241889397,0.02498377353
75,0.0008160022465,0.0006665372792,0.02581738328
76,0.0007735685728,0.0006246444026,0.02499288704
77,0.0007544712668,0.0006408494096,0.02531500365
78,0.0007580887084,0.0006754500826,0.02598942251
79,0.0007691079235,0.0006657642739,0.0258024083
80,0.0006996927655,0.0006130289661,0.02475942176
81,0.0007357354453,0.0005974455323,0.02444269896
82,0.0007300988479,0.000611738703,0.02473335204
83,0.0007509281829,0.0006044193985,0.02458494252
84,0.000703899607,0.0006259939674,0.02501987145
85,0.0007193089304,0.0005946248641,0.02438493109
86,0.0007178769392,0.0006766778212,0.02601303176
87,0.000720050421,0.0006612174228,0.0257141483
88,0.0007229601045,0.0005958258401,0.02440954404
89,0.000713664104,0.0006555792827,0.02560428251
90,0.0007256459068,0.0006220752592,0.02494143659
91,0.0006944979046,0.0006136920038,0.02477280775
92,0.0007221967758,0.0006049600463,0.02459593557
93,0.0007113858396,0.0006721513694,0.02592588223
94,0.0006994888939,0.0006013577435,0.02452259659
95,0.0007127384406,0.0006128426882,0.02475565972
96,0.0006466119859,0.0005978100875,0.02445015516
97,0.0006657619105,0.0005940796228,0.02437374864
98,0.0006347382809,0.0006576486665,0.02564466156
99,0.0006259278126,0.0007095386838,0.02663716734
100,0.0006305475386,0.0006086590273,0.02467101594
101,0.0006130354241,0.0006000809014,0.02449654876
102,0.0006342381968,0.0006818946553,0.02611311271
103,0.0006307108061,0.0006085039919,0.02466787368
104,0.0006059652086,0.0006071946056,0.02464131907
105,0.0005928692424,0.0006389031581,0.02527653374
106,0.0005970906881,0.0006021774281,0.02453930374
107,0.0005666463478,0.0006076847975,0.02465126361
108,0.0005375965688,0.0005926515887,0.0243444365
109,0.0005545195663,0.0006015936695,0.0245274065
110,0.0005418297505,0.000590786072,0.02430609125
111,0.0005331455183,0.0006174045339,0.02484762632
112,0.0005481039753,0.000601523628,0.02452597863
113,0.0005453267247,0.0006121764812,0.02474220041
114,0.0005382684196,0.0006004781789,0.02450465627
115,0.000520500817,0.0006206729571,0.02491330884
116,0.0005214278662,0.0005912951709,0.02431656166
117,0.0005022792778,0.0006144027459,0.02478714881
118,0.000515413104,0.0006169943548,0.02483937106
119,0.0005065398971,0.000602862693,0.02455326237
120,0.000503274427,0.0006046498087,0.02458962807
121,0.0004920664686,0.0006121338559,0.02474133901
122,0.0004993913958,0.0005982791383,0.02445974526
123,0.0004805568626,0.0005955018209,0.02440290599
124,0.0005016713454,0.0006037105548,0.02457052207
125,0.0004876986606,0.0006040357073,0.0245771379
126,0.0004916886737,0.0005933023326,0.02435779819
127,0.0004803626944,0.0006010517421,0.02451635662
128,0.0004777811583,0.0006065460233,0.02462815509
