sample_index_in_test,global_index,active_count,active_count_interval,field_rmse_pa,field_mae_pa,field_r2,roi_curve_rmse_pa,roi_curve_mae_pa,high_response_rmse_pa,true_peak_pa,true_peak_freq_mhz,true_center_6db_mhz,true_bandwidth_6db_mhz,true_fbw_6db,pred_peak_pa,abs_err_peak_pa,pred_peak_freq_mhz,abs_err_peak_freq_mhz,pred_center_6db_mhz,abs_err_center_6db_mhz,pred_bandwidth_6db_mhz,abs_err_bandwidth_6db_mhz,pred_fbw_6db,abs_err_fbw_6db
50,2803,2212,2093-2500,499.57003208512276,164.55112290221504,0.999691699093113,283.7919939471349,112.91926375679348,1356.4241392831225,201441.78125,3.55,3.775,0.4500000000000002,0.11920529801324509,201277.15625,164.625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
51,2191,1455,1268-1678,535.4651918805228,202.41013104354195,0.9992565934079869,617.8459434193384,224.5728175951087,1540.2804925958017,134766.203125,3.55,3.775,0.4500000000000002,0.11920529801324509,134199.953125,566.25,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
52,5768,1260,849-1267,368.9366426996726,171.8531603451936,0.9995540946430309,413.27485865143035,210.702880859375,958.4922610573794,115823.90625,3.55,3.775,0.4500000000000002,0.11920529801324509,114717.09375,1106.8125,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
53,2919,1084,849-1267,352.2595742453603,161.45140897057576,0.9994242873845413,167.8020254906888,113.22102156929348,877.2160709238789,97362.2421875,3.55,3.775,0.4500000000000002,0.11920529801324509,97548.53125,186.2890625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
54,9070,2103,2093-2500,1199.5831569698778,286.51878252311377,0.9981652149669895,1679.4760360272544,412.5898755944294,3562.632633974625,193938.40625,3.55,3.775,0.4500000000000002,0.11920529801324509,194578.515625,640.109375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
55,4480,1172,849-1267,530.755497050413,193.62621229884937,0.9988489299120457,404.96125761475304,188.06375785495925,1291.2203306523877,103331.2890625,3.55,3.775,0.4500000000000002,0.11920529801324509,104733.4765625,1402.1875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
56,7005,2431,2093-2500,153.03752395309192,71.94828968134341,0.9999742240091005,139.2929373468896,84.892578125,384.1569217949479,214962.84375,3.55,3.775,0.4500000000000002,0.11920529801324509,215363.203125,400.359375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
57,579,555,428-848,334.0130219662907,136.68241930993122,0.9975536310846221,428.5818187170569,163.22742495329484,881.6614647833208,44574.46484375,3.55,3.575,0.8500000000000001,0.2377622377622378,42656.578125,1917.88671875,3.55,0.0,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
58,4246,2004,1679-2092,817.8907529538654,236.50380960222327,0.999031475053793,946.2705472468484,311.1020189368206,2024.7645009451746,187602.0,3.55,3.775,0.4500000000000002,0.11920529801324509,185987.59375,1614.40625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
59,1928,801,428-848,669.6292490030095,241.6465907794455,0.9960150800595612,806.625825272148,290.7000838569973,1857.859991289759,66570.40625,3.55,3.775,0.4500000000000002,0.11920529801324509,66836.3828125,265.9765625,3.55,0.0,3.575,0.19999999999999973,0.8500000000000001,0.3999999999999999,0.2377622377622378,0.1185569397489927
60,8410,2329,2093-2500,394.1871884834147,144.9058384871773,0.9998183008898254,673.537384087837,245.59903617527175,1157.6302690417435,208262.234375,3.55,3.775,0.4500000000000002,0.11920529801324509,210670.375,2408.140625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
61,9301,646,428-848,435.7677001037107,169.95610909251337,0.9972230835586959,401.9059334949136,174.24368949558425,1166.9398173054885,51444.57421875,3.55,3.575,0.8500000000000001,0.2377622377622378,50448.14453125,996.4296875,4.0,0.4500000000000002,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
62,2490,1265,849-1267,619.3364622271138,250.37015978128184,0.9986685166787163,665.7025164175952,289.532667077106,1805.5522968100665,114293.9375,3.55,3.775,0.4500000000000002,0.11920529801324509,115727.578125,1433.640625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
63,3254,75,0-100,97.3435737531115,46.190555666790836,0.9837463439676004,57.88237803119225,26.436710191809613,219.55107298550814,4589.1083984375,3.55,3.825,1.35,0.35294117647058826,4605.849609375,16.7412109375,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
64,5484,2221,2093-2500,1077.1799901238574,272.90535038744054,0.99858174293139,969.2780184179936,242.76711107336956,2640.485289369903,203001.5625,3.55,3.775,0.4500000000000002,0.11920529801324509,202942.34375,59.21875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
65,2364,1268,1268-1678,443.7968046223876,200.8632984239661,0.999357678075816,546.4950011584358,240.40208899456522,1178.2262326324042,117587.40625,3.55,3.775,0.4500000000000002,0.11920529801324509,115333.9765625,2253.4296875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
66,5295,894,849-1267,687.1561000922115,269.6649220336914,0.9969237796539933,952.0168720401102,383.8408786939538,2021.2730838565392,81095.6796875,3.55,3.775,0.4500000000000002,0.11920529801324509,78131.9296875,2963.75,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
67,6594,1252,849-1267,498.71425925170695,215.17137202705715,0.9991789678084956,603.5126518169153,231.25235118036684,1353.137858824286,114330.96875,3.55,3.775,0.4500000000000002,0.11920529801324509,113918.578125,412.390625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
68,3141,149,101-159,119.55939668596282,55.79214370563756,0.9940368326740784,38.29969952993003,26.02745188837466,224.3123558709116,9696.5498046875,3.55,3.825,1.35,0.35294117647058826,9563.5966796875,132.953125,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
69,1076,2286,2093-2500,643.7842342437425,189.33856323719854,0.9995083898985737,389.9240367925017,142.2232506793478,1768.2724884540123,207561.546875,3.55,3.775,0.4500000000000002,0.11920529801324509,206484.703125,1076.84375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
70,3662,1212,849-1267,631.3653425166311,235.77389343925145,0.9986042511198817,765.2210400135771,225.4431736158288,1848.8403616791502,112748.390625,3.55,3.775,0.4500000000000002,0.11920529801324509,109106.5234375,3641.8671875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
71,2623,1395,1268-1678,365.21995047386724,168.33905177439814,0.999635910105109,368.79078886574644,163.01876698369566,986.5294518770901,129375.203125,3.55,3.775,0.4500000000000002,0.11920529801324509,128924.2734375,450.9296875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
72,6758,644,428-848,419.2576964613857,186.86483478260868,0.9971211295217027,513.2647838622489,228.38017471976903,1118.14857354278,51502.78515625,4.0,3.775,0.4500000000000002,0.11920529801324509,50530.4765625,972.30859375,4.0,0.0,3.575,0.19999999999999973,0.8500000000000001,0.3999999999999999,0.2377622377622378,0.1185569397489927
73,7847,180,160-279,164.55617737769387,71.81763878770911,0.9925744054059366,96.2100675898962,54.42785113790761,369.6024757634546,11645.7333984375,4.0,3.825,1.35,0.35294117647058826,11891.09375,245.3603515625,3.55,0.4500000000000002,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
74,2830,2065,1679-2092,3625.3640154339023,748.605457558806,0.9801194798415452,6344.005732745925,1441.3304814877717,10787.231394438204,189937.546875,3.55,3.775,0.4500000000000002,0.11920529801324509,191270.796875,1333.25,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
75,5986,242,160-279,183.02162432392987,83.33633359432635,0.994556030759119,230.48864289695774,95.88034588357677,415.8789720280325,15036.50390625,4.0,3.825,1.35,0.35294117647058826,15758.896484375,722.392578125,3.55,0.4500000000000002,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
76,8526,385,280-427,204.89281056275323,91.78665466192494,0.9976635640934821,120.20023240291104,52.11795707370924,455.8705408174691,26880.578125,3.55,3.825,1.35,0.35294117647058826,26911.9375,31.359375,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
77,1130,200,160-279,143.15615940720892,64.58039988898402,0.9953025919091927,121.26769799769498,61.96919847571331,328.8204463620692,12643.013671875,3.55,3.825,1.35,0.35294117647058826,13037.8095703125,394.7958984375,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
78,4965,1821,1679-2092,389.6436746065944,176.8443118545532,0.9997534678161287,319.65440637712334,158.7938391644022,1078.7894049342551,172531.265625,3.55,3.775,0.4500000000000002,0.11920529801324509,171439.796875,1091.46875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
79,2038,730,428-848,391.08747729862694,151.40704100587266,0.9980693824589096,503.9094867920331,172.46896760360053,1061.9595005305607,56252.55078125,4.0,3.575,0.8500000000000001,0.2377622377622378,57792.390625,1539.83984375,3.55,0.4500000000000002,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
80,4695,379,280-427,271.10129915878673,110.14175838543436,0.9958434070905365,226.51714964061253,99.00221053413723,651.2870140811865,27242.607421875,3.55,3.575,0.8500000000000001,0.2377622377622378,26317.767578125,924.83984375,3.55,0.0,3.825,0.25,1.35,0.5,0.35294117647058826,0.11517893870835047
81,8857,589,428-848,393.2989329892299,147.27450797457487,0.9968456415443231,536.718210282318,195.7933747664742,1095.912149297536,44822.80859375,4.0,3.575,0.8500000000000001,0.2377622377622378,45435.37890625,612.5703125,3.55,0.4500000000000002,3.575,0.0,0.8500000000000001,0.0,0.2377622377622378,0.0
82,887,2438,2093-2500,271.2976880130418,99.42119420006793,0.9999198619062105,329.0270859715225,134.36769701086956,744.3569161311563,215553.625,3.55,3.775,0.4500000000000002,0.11920529801324509,215961.1875,407.5625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
83,3322,1942,1679-2092,478.6736027223592,171.20762107129303,0.9996558027269454,486.70349571696124,169.70583177649456,1373.4497807816915,181053.359375,3.55,3.775,0.4500000000000002,0.11920529801324509,180961.765625,91.59375,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
84,8816,1866,1679-2092,413.78805046181816,168.24374765412705,0.999722057013898,315.74953237231904,131.41215183423913,1158.4927547185528,173721.078125,3.55,3.775,0.4500000000000002,0.11920529801324509,173551.578125,169.5,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
85,2078,1061,849-1267,869.839009526046,309.4109203873344,0.9964968932196162,1091.1929966164603,386.92112134850544,2576.6767484115658,98709.9609375,3.55,3.775,0.4500000000000002,0.11920529801324509,94070.5390625,4639.421875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
86,5338,415,280-427,294.21771535056666,131.25313308015907,0.9960306244555736,251.67628680886915,118.88518225628397,691.1266963038468,29090.14453125,3.55,3.825,1.35,0.35294117647058826,29922.54296875,832.3984375,3.55,0.0,3.825,0.0,1.35,0.0,0.35294117647058826,0.0
87,861,1235,849-1267,425.01658289566086,185.62358191077192,0.9993450157416967,433.6423005518403,163.20887291949728,1160.4411525418304,109338.1015625,3.55,3.775,0.4500000000000002,0.11920529801324509,111326.1484375,1988.046875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
88,7080,2178,2093-2500,642.6837373660104,211.06213717067553,0.9994790143648575,991.1478296559319,295.90120796535325,1835.2457410150369,201185.640625,3.55,3.775,0.4500000000000002,0.11920529801324509,199914.734375,1270.90625,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
89,5949,1484,1268-1678,309.2163296128618,143.31348253571883,0.9997658965523717,184.29856305810904,91.00547724184783,735.603252425194,136836.75,3.55,3.775,0.4500000000000002,0.11920529801324509,137636.296875,799.546875,3.55,0.0,3.775,0.0,0.4500000000000002,0.0,0.11920529801324509,0.0
