quantity,latex_label,unit,mean,median,p95,max
ROI curve RMSE,ROI curve RMSE,Pa,574.8426325329291,443.25554001017605,1292.1871224350748,16835.71785382378
ROI curve MAE,ROI curve MAE,Pa,206.9368400603615,180.14205269191575,422.56924650772754,3588.2422193444295
Peak response error,Peak $|P|$ err.,Pa,1357.4498359031677,945.84375,3871.051953124999,10970.96875
Peak-frequency error,Peak $f$ err.,MHz,0.06593333333333336,0.0,0.4500000000000002,11.5
6-dB center-frequency error,6-dB center $f$ err.,MHz,0.020399999999999984,0.0,0.19999999999999973,1.5
6-dB bandwidth error,6-dB BW err.,MHz,0.04219999999999999,0.0,0.3999999999999999,3.0
6-dB fractional-bandwidth error,6-dB FBW err.,fraction,0.011131462477176318,0.0,0.1185569397489927,0.6734006734006734
High-response RMSE,High-response RMSE,Pa,1370.872515902859,1175.4780542573315,2847.2695527553433,16418.071929598118
