active_count_interval,n_samples,pointwise_rmse_pa,pointwise_mae_pa,pointwise_r2,rmse_mean_pa,rmse_median_pa,rmse_p95_pa,rmse_max_pa,mae_mean_pa,mae_median_pa
0-100,57,107.52531835050505,53.0754462703572,0.9744779055374033,106.5281042034122,103.19249583195212,136.36823225647774,146.69159912030432,53.0754462703572,51.787449937919945
101-159,38,132.3790824803139,62.91706737143221,0.9905855179303847,131.37460629734042,130.94224660004363,164.2053407241898,168.6621659926126,62.91706737143222,62.15860608110221
160-279,75,182.4702757606884,81.12607504424253,0.9945190281031427,179.70508623543017,175.5130158908722,236.6182834075448,263.9523386410802,81.12607504424253,81.0415701555335
280-427,71,256.49467351552386,108.24825893868882,0.9959608345424136,249.86830716822192,245.89810163191282,355.60817214981927,476.4095370042061,108.24825893868882,106.65041109147279
428-848,278,408.6510600475218,158.75362733092788,0.9974809552267633,388.95492950653295,367.5693096332027,596.3581252162475,1413.9379946201702,158.75362733092788,154.2320432536747
849-1267,274,541.5979779787133,206.28858432478273,0.998623682895939,523.5120595728812,498.13380467013803,769.736656356164,1093.0934699974737,206.28858432478273,198.4415962194028
1268-1678,228,543.878077031298,205.23121371656225,0.9992881847501944,521.6005440833886,493.036100554545,790.1769845628031,1307.4062685664087,205.23121371656225,198.47161506015942
1679-2092,237,902.0180425827443,235.45681218213008,0.9987201440438196,745.3588880826994,584.7719586494152,1644.9876133777307,3789.7271489535733,235.45681218213008,207.74672474524456
2093-2500,242,1035.058118102078,186.3969435163809,0.9987291893660002,655.369814862686,470.3854117174525,1740.8462399707737,9034.495317073675,186.3969435163809,154.67484537366784
